ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,PRICE AFTER TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
chroom book hp 180R 32/2gb 11 inch  ,used ,,,,,hp ,,65,,no ,,,150,2,,,,,,
chroom book hp 180R 32/4gb touch ,used ,,,,,hp ,,130,,no ,,,300,1,,,,,,
hp pro book 512/8gb cori i5 gen4 15.6 inch ,used ,,,,,hp ,,300,,no ,,,500,2,,,,,,
hp elite book 512/8gb cori i5 gen4 finger prient and touch screen  13 inch ,used ,,,,,hp ,,300,,no ,,,500,1,,,,,,
chroom book 180R 32/2gb camera round 180,used  ,,,,,lenovo,,65,,no ,,,150,3,,,,,,
chroom book 360R touch  32/2gb port t.c ,used ,,,,,lenovo,,110,,no ,,,220,3,,,,,,
lenovo g50 core i3 gen 4 512/6gb ,used ,,,,,lenovo ,,80,,no ,,,500,1,,,,,,
lenovo g40 core i5 gen 5 256/12,used,,,,,lenovo ,,300,,no ,,,500,1,,,,,,
chroom book dell 360R touch ,used ,,,,,dell ,,110,,no ,,,220,1,,,,,,
 chroom book acer 360R touch ,used,,,,,acer ,,110,,no ,,,220,1,,,,,,
acer core i3 gen 10 1tr/4gb 15.6 inch ,used ,,,,,acer ,,150,,no ,,,700,1,,,,,,
mac book air core I 5 gen 6 256/8gb ,used ,,,,,appel,,600,,no ,,,1100,1,,,,,,
